Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.3, 'enhanced': 0.7, 'levenshtein': 0.0}, Average Accuracy: 38.75%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.0, 'levenshtein': 0.6}, Average Accuracy: 51.30%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.1, 'levenshtein': 0.5}, Average Accuracy: 49.23%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.2, 'levenshtein': 0.4}, Average Accuracy: 47.44%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.3, 'levenshtein': 0.3}, Average Accuracy: 45.76%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.4, 'levenshtein': 0.2}, Average Accuracy: 42.99%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.5, 'levenshtein': 0.1}, Average Accuracy: 41.53%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.4, 'enhanced': 0.6, 'levenshtein': 0.0}, Average Accuracy: 40.07%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.0, 'levenshtein': 0.5}, Average Accuracy: 51.19%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.1, 'levenshtein': 0.4}, Average Accuracy: 49.16%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.2, 'levenshtein': 0.3}, Average Accuracy: 47.37%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.3, 'levenshtein': 0.2}, Average Accuracy: 45.66%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.4, 'levenshtein': 0.1}, Average Accuracy: 42.86%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.5, 'enhanced': 0.5, 'levenshtein': 0.0}, Average Accuracy: 41.40%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.6, 'enhanced': 0.0, 'levenshtein': 0.4}, Average Accuracy: 51.09%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.6, 'enhanced': 0.1, 'levenshtein': 0.3}, Average Accuracy: 49.09%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.6, 'enhanced': 0.2, 'levenshtein': 0.2}, Average Accuracy: 47.30%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.6, 'enhanced': 0.4, 'levenshtein': 0.0}, Average Accuracy: 42.76%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.7, 'enhanced': 0.0, 'levenshtein': 0.3}, Average Accuracy: 50.99%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.7, 'enhanced': 0.1, 'levenshtein': 0.2}, Average Accuracy: 49.01%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.7, 'enhanced': 0.3, 'levenshtein': 0.0}, Average Accuracy: 45.51%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.8, 'enhanced': 0.0, 'levenshtein': 0.2}, Average Accuracy: 50.91%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.8, 'enhanced': 0.1, 'levenshtein': 0.1}, Average Accuracy: 48.94%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.8, 'enhanced': 0.2, 'levenshtein': 0.0}, Average Accuracy: 47.15%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.9, 'enhanced': 0.0, 'levenshtein': 0.1}, Average Accuracy: 50.88%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 0.9, 'enhanced': 0.1, 'levenshtein': 0.0}, Average Accuracy: 48.86%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.0, 'difflib': 1.0, 'enhanced': 0.0, 'levenshtein': 0.0}, Average Accuracy: 50.84%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.0, 'levenshtein': 0.9}, Average Accuracy: 49.43%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.1, 'levenshtein': 0.8}, Average Accuracy: 47.48%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.2, 'levenshtein': 0.7}, Average Accuracy: 45.71%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.3, 'levenshtein': 0.6}, Average Accuracy: 42.94%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.4, 'levenshtein': 0.5}, Average Accuracy: 41.49%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.5, 'levenshtein': 0.4}, Average Accuracy: 40.03%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.6, 'levenshtein': 0.3}, Average Accuracy: 38.57%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.7, 'levenshtein': 0.2}, Average Accuracy: 37.12%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.8, 'levenshtein': 0.1}, Average Accuracy: 35.67%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.0, 'enhanced': 0.9, 'levenshtein': 0.0}, Average Accuracy: 33.20%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.0, 'levenshtein': 0.8}, Average Accuracy: 49.27%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.1, 'levenshtein': 0.7}, Average Accuracy: 47.33%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.2, 'levenshtein': 0.6}, Average Accuracy: 45.58%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.3, 'levenshtein': 0.5}, Average Accuracy: 42.81%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.4, 'levenshtein': 0.4}, Average Accuracy: 41.36%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.5, 'levenshtein': 0.3}, Average Accuracy: 39.90%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.6, 'levenshtein': 0.2}, Average Accuracy: 38.44%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.1, 'enhanced': 0.8, 'levenshtein': 0.0}, Average Accuracy: 35.54%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.0, 'levenshtein': 0.7}, Average Accuracy: 49.14%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.1, 'levenshtein': 0.6}, Average Accuracy: 47.19%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.2, 'levenshtein': 0.5}, Average Accuracy: 45.45%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.3, 'levenshtein': 0.4}, Average Accuracy: 42.68%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.4, 'levenshtein': 0.3}, Average Accuracy: 41.23%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.5, 'levenshtein': 0.2}, Average Accuracy: 39.77%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.6, 'levenshtein': 0.1}, Average Accuracy: 38.31%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.2, 'enhanced': 0.7, 'levenshtein': 0.0}, Average Accuracy: 36.86%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.0, 'levenshtein': 0.6}, Average Accuracy: 49.03%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.1, 'levenshtein': 0.5}, Average Accuracy: 47.08%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.2, 'levenshtein': 0.4}, Average Accuracy: 45.33%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.3, 'levenshtein': 0.3}, Average Accuracy: 42.55%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.4, 'levenshtein': 0.2}, Average Accuracy: 41.10%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.5, 'levenshtein': 0.1}, Average Accuracy: 39.64%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.3, 'enhanced': 0.6, 'levenshtein': 0.0}, Average Accuracy: 38.18%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.0, 'levenshtein': 0.5}, Average Accuracy: 48.93%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.1, 'levenshtein': 0.4}, Average Accuracy: 47.01%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.2, 'levenshtein': 0.3}, Average Accuracy: 45.21%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.3, 'levenshtein': 0.2}, Average Accuracy: 42.43%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.4, 'levenshtein': 0.1}, Average Accuracy: 40.97%
